idruns,LOTNAME,run_start_time,run_end_time,Initial_AvgO2Flow,Initial_Avg_Rf1_Pow,Initial_Avg_Rf2_Pow,Initial_Avg_ChTemp,Initial_Avg_ElecTemp,Initial_AvgPres,Initial_Avgcf4Flow,Initial_duration,Chuck_AvgO2Flow,Chuck_Avg_Rf1_Pow,Chuck_Avg_Rf2_Pow,Chuck_Avg_ChTemp,Chuck_Avg_ElecTemp,Chuck_AvgPres,Chuck_Avgcf4Flow,Chuck_duration,Gas Stab_AvgO2Flow,Gas Stab_Avg_Rf1_Pow,Gas Stab_Avg_Rf2_Pow,Gas Stab_Avg_ChTemp,Gas Stab_Avg_ElecTemp,Gas Stab_AvgPres,Gas Stab_Avgcf4Flow,Gas Stab_duration,Etch_AvgO2Flow,Etch_Avg_Rf1_Pow,Etch_Avg_Rf2_Pow,Etch_Avg_ChTemp,Etch_Avg_ElecTemp,Etch_AvgPres,Etch_Avgcf4Flow,Etch_duration,Dechuck_AvgO2Flow,Dechuck_Avg_Rf1_Pow,Dechuck_Avg_Rf2_Pow,Dechuck_Avg_ChTemp,Dechuck_Avg_ElecTemp,Dechuck_AvgPres,Dechuck_Avgcf4Flow,Dechuck_duration,End_AvgO2Flow,End_Avg_Rf1_Pow,End_Avg_Rf2_Pow,End_Avg_ChTemp,End_Avg_ElecTemp,End_AvgPres,End_Avgcf4Flow,End_duration,FIMAP_FILE,AvgEtchRate,MinEtchRate,MaxEtchRate,RangeEtchRate,NonUniformityPct,UniformityScore,X_1_mm,Y_1_mm,Rate_1_nm_per_min,X_2_mm,Y_2_mm,Rate_2_nm_per_min,X_3_mm,Y_3_mm,Rate_3_nm_per_min,X_4_mm,Y_4_mm,Rate_4_nm_per_min,X_5_mm,Y_5_mm,Rate_5_nm_per_min,X_6_mm,Y_6_mm,Rate_6_nm_per_min,X_7_mm,Y_7_mm,Rate_7_nm_per_min,X_8_mm,Y_8_mm,Rate_8_nm_per_min,X_9_mm,Y_9_mm,Rate_9_nm_per_min,X_10_mm,Y_10_mm,Rate_10_nm_per_min,X_11_mm,Y_11_mm,Rate_11_nm_per_min,X_12_mm,Y_12_mm,Rate_12_nm_per_min,X_13_mm,Y_13_mm,Rate_13_nm_per_min,X_14_mm,Y_14_mm,Rate_14_nm_per_min,X_15_mm,Y_15_mm,Rate_15_nm_per_min,X_16_mm,Y_16_mm,Rate_16_nm_per_min,X_17_mm,Y_17_mm,Rate_17_nm_per_min,X_18_mm,Y_18_mm,Rate_18_nm_per_min,X_19_mm,Y_19_mm,Rate_19_nm_per_min,X_20_mm,Y_20_mm,Rate_20_nm_per_min,X_21_mm,Y_21_mm,Rate_21_nm_per_min,X_22_mm,Y_22_mm,Rate_22_nm_per_min,X_23_mm,Y_23_mm,Rate_23_nm_per_min,X_24_mm,Y_24_mm,Rate_24_nm_per_min,X_25_mm,Y_25_mm,Rate_25_nm_per_min,X_26_mm,Y_26_mm,Rate_26_nm_per_min,X_27_mm,Y_27_mm,Rate_27_nm_per_min,X_28_mm,Y_28_mm,Rate_28_nm_per_min,X_29_mm,Y_29_mm,Rate_29_nm_per_min,X_30_mm,Y_30_mm,Rate_30_nm_per_min,X_31_mm,Y_31_mm,Rate_31_nm_per_min,X_32_mm,Y_32_mm,Rate_32_nm_per_min,X_33_mm,Y_33_mm,Rate_33_nm_per_min,X_34_mm,Y_34_mm,Rate_34_nm_per_min,X_35_mm,Y_35_mm,Rate_35_nm_per_min,X_36_mm,Y_36_mm,Rate_36_nm_per_min,X_37_mm,Y_37_mm,Rate_37_nm_per_min,X_38_mm,Y_38_mm,Rate_38_nm_per_min,X_39_mm,Y_39_mm,Rate_39_nm_per_min,X_40_mm,Y_40_mm,Rate_40_nm_per_min,X_41_mm,Y_41_mm,Rate_41_nm_per_min,run_date,last_clean_date,days_since_last_clean,cleaned,runs_since_last_clean
270,etch8/22/2024,2024-08-22 15:02:37.477000+00:00,2024-08-22 15:09:26.767000+00:00,0.0,0.0,0.0,50.0,15.0,20.0,0.0,19.561,0.0,0.0,0.0,50.0,15.0,20.0,0.0,30.0,9.967040009765931,0.0,0.0,50.0,15.0,5.0,44.94674520096442,10.114,10.00059808085686,99.66442953020135,398.6577181208054,50.0,15.0,5.0,44.99808798465803,301.14,0.0,0.0,0.0,50.0,15.0,5.0,0.0,30.0,0.0,0.0,0.0,50.0,15.0,12.777777777777779,0.0,18.475,08_22_2024.fimap,121.44337609756099,120.24323999999999,122.14804,1.9048000000000087,0.784233797350049,99.21576620264995,0.0,0.0,121.88398,12.498,0.0,121.70766,0.0,12.498,121.98848000000001,-12.498,0.0,121.95962,0.0,-12.498,121.64298,23.091,-9.561,121.19754,23.091,9.561,121.50234,9.561,23.091,121.99300000000001,-9.561,23.091,122.14804,-23.091,9.561,121.97157999999999,-23.091,-9.561,121.80283999999999,-9.561,-23.091,121.62298000000001,9.561,-23.091,121.2559,37.495,0.0,120.93784000000001,32.464,18.748,121.24902,18.748,32.464,121.73143999999999,0.0,37.495,121.93625999999999,-18.748,32.464,122.00694000000001,-32.464,18.748,122.05519999999999,-37.495,0.0,121.81124,-32.464,-18.748,121.58856,-18.748,-32.464,121.35906,0.0,-37.495,121.20085999999999,18.748,-32.464,120.90544,32.464,-18.748,120.83628000000002,49.04,-9.749,120.24323999999999,49.04,9.749,120.46828000000001,41.573,27.778,120.78681999999999,27.778,41.573,121.30224000000001,9.749,49.04,121.6164,-9.749,49.04,121.82134,-27.778,41.573,121.85229999999999,-41.573,27.778,121.91423999999999,-49.04,9.749,121.8915,-49.04,-9.749,121.71864000000001,-41.573,-27.778,121.45671999999999,-27.778,-41.573,121.31081999999999,-9.749,-47.29,121.08930000000001,9.749,-47.29,120.80186,27.778,-41.573,120.33326,41.573,-27.778,120.27637999999999,2024-08-22,2024-07-22,31,False,0
313,etch8/27/2024,2024-08-27 16:04:28.277000+00:00,2024-08-27 16:11:17.617000+00:00,0.0,0.0,0.0,50.0,15.0,20.0,0.0,20.53,0.27992839726259483,0.0,0.0,50.0,15.0,19.482758620689655,0.7223415484249828,30.0,9.994506668294324,0.0,0.0,50.0,15.0,5.0,44.988250373851784,10.112,10.000494255995232,100.0,400.0,50.0,15.0,5.0,44.99803171027272,300.308,0.009969379762159065,0.0,0.0,50.0,15.0,5.0,0.0,30.0,0.0,0.0,0.0,50.0,15.0,12.777777777777779,0.0,18.39,08_27_2024.fimap,122.15606536585366,120.88255999999998,122.82618,1.94362000000001,0.795547889570169,99.20445211042983,0.0,0.0,122.59268,12.498,0.0,122.50809999999998,0.0,12.498,122.71766,-12.498,0.0,122.64172,0.0,-12.498,122.38250000000001,23.091,-9.561,121.92927999999999,23.091,9.561,122.17598000000001,9.561,23.091,122.60772,-9.561,23.091,122.82618,-23.091,9.561,122.70734,-23.091,-9.561,122.43426,-9.561,-23.091,122.29025999999999,9.561,-23.091,122.08282,37.495,0.0,121.74294,32.464,18.748,121.97546,18.748,32.464,122.51114,0.0,37.495,122.68768,-18.748,32.464,122.65364,-32.464,18.748,122.69238,-37.495,0.0,122.57244,-32.464,-18.748,122.37172000000001,-18.748,-32.464,122.18616,0.0,-37.495,121.96669999999999,18.748,-32.464,121.60134000000001,32.464,-18.748,121.51364000000001,49.04,-9.749,121.00406000000001,49.04,9.749,121.15299999999999,41.573,27.778,121.62764,27.778,41.573,121.89161999999999,9.749,49.04,122.46744000000001,-9.749,49.04,122.58689999999999,-27.778,41.573,122.48746000000001,-41.573,27.778,122.53572,-49.04,9.749,122.53876,-49.04,-9.749,122.34828,-41.573,-27.778,122.16944000000001,-27.778,-41.573,121.99744000000001,-9.749,-47.29,121.74742,9.749,-47.29,121.5154,27.778,-41.573,121.0738,41.573,-27.778,120.88255999999998,2024-08-27,2024-07-22,36,False,1
359,etch8/30/2024,2024-08-30 13:20:03.338000+00:00,2024-08-30 13:26:54.903000+00:00,0.0,0.0,0.0,49.7047619047619,14.899999999999997,0.008968591008953485,0.0,20.562,0.0,0.0,0.0,49.858620689655176,14.899999999999997,0.0070191374101795274,0.0,30.0,9.924896722589523,0.0,0.0,50.04545454545455,14.954545454545455,4.581818181818182,44.38473297691417,11.116,10.000597011919393,99.66329966329967,399.47474747474746,50.04882154882156,15.067676767676769,5.005353535353536,44.99741517472775,300.323,0.021464684998118034,0.0,0.0,49.75000000000001,15.0,1.1909782209015596,0.0,30.0,0.0,0.0,0.0,49.72631578947369,15.0,0.002942920275338321,0.0,19.564,08_30_2024.fimap,122.43810926829269,121.35288,123.07642000000001,1.723540000000014,0.7038413163598044,99.2961586836402,0.0,0.0,122.88094000000001,12.498,0.0,122.76751999999999,0.0,12.498,123.01969999999999,-12.498,0.0,122.94512,0.0,-12.498,122.67792,23.091,-9.561,122.34831999999999,23.091,9.561,122.68879999999999,9.561,23.091,122.96788,-9.561,23.091,123.07642000000001,-23.091,9.561,122.83992,-23.091,-9.561,122.7085,-9.561,-23.091,122.61772,9.561,-23.091,122.40155999999999,37.495,0.0,122.07746,32.464,18.748,122.40437999999999,18.748,32.464,122.70465999999999,0.0,37.495,123.03052,-18.748,32.464,122.89718,-32.464,18.748,122.80878,-37.495,0.0,122.69847999999999,-32.464,-18.748,122.58026,-18.748,-32.464,122.39236000000001,0.0,-37.495,122.10436,18.748,-32.464,122.01846,32.464,-18.748,121.95206,49.04,-9.749,121.4497,49.04,9.749,121.5717,41.573,27.778,121.9733,27.778,41.573,122.26002000000001,9.749,49.04,122.55882,-9.749,49.04,122.76252,-27.778,41.573,122.64792,-41.573,27.778,122.66174000000001,-49.04,9.749,122.5925,-49.04,-9.749,122.46448000000001,-41.573,-27.778,122.32639999999999,-27.778,-41.573,122.1369,-9.749,-47.29,122.10712000000001,9.749,-47.29,121.8963,27.778,-41.573,121.5909,41.573,-27.778,121.35288,2024-08-30,2024-07-22,39,False,2
400,etch9/3/2024,2024-09-03 15:52:13.596000+00:00,2024-09-03 15:59:06.150000+00:00,0.0,0.0,0.0,50.25652173913043,15.0,0.006231752826041088,0.0,22.569,0.3028698974893789,0.0,0.0,50.2448275862069,15.0,0.006388898751189296,0.1605905015874886,30.0,9.99425697139861,0.0,0.0,50.09090909090909,15.009090909090908,5.028181818181817,44.98650249558179,11.144,10.000441281150547,100.0,400.0,49.887499999999996,15.08141891891892,4.9957094594594595,44.9975523330576,299.276,0.0,0.0,0.0,50.103333333333346,15.0,1.2542253159049526,0.0,30.0,0.0,0.0,0.0,50.20526315789475,15.0,0.0028398440455144995,0.0,19.565,09_03_2024.fimap,120.25790634146341,119.26169999999999,120.78978,1.5280800000000028,0.6353345266385783,99.36466547336143,0.0,0.0,120.62562,12.498,0.0,120.45968,0.0,12.498,120.68196,-12.498,0.0,120.71176,0.0,-12.498,120.46776,23.091,-9.561,120.06212000000001,23.091,9.561,120.24477999999999,9.561,23.091,120.58586,-9.561,23.091,120.78978,-23.091,9.561,120.62092,-23.091,-9.561,120.52709999999999,-9.561,-23.091,120.4864,9.561,-23.091,120.24148,37.495,0.0,119.78479999999999,32.464,18.748,119.96903999999999,18.748,32.464,120.3798,0.0,37.495,120.6348,-18.748,32.464,120.61176,-32.464,18.748,120.66216,-37.495,0.0,120.60942,-32.464,-18.748,120.54082000000001,-18.748,-32.464,120.40462,0.0,-37.495,120.22606,18.748,-32.464,119.94372000000001,32.464,-18.748,119.76948,49.04,-9.749,119.26169999999999,49.04,9.749,119.32293999999999,41.573,27.778,119.6096,27.778,41.573,119.8635,9.749,49.04,120.2298,-9.749,49.04,120.46576,-27.778,41.573,120.39372,-41.573,27.778,120.48308,-49.04,9.749,120.47991999999999,-49.04,-9.749,120.47862,-41.573,-27.778,120.41374,-27.778,-41.573,120.28314,-9.749,-47.29,120.27126000000001,9.749,-47.29,120.02770000000001,27.778,-41.573,119.60802000000001,41.573,-27.778,119.33995999999999,2024-09-03,2024-07-22,43,False,3
458,etch9/6/2024,2024-09-06 16:09:16.793000+00:00,2024-09-06 16:16:07.367000+00:00,0.0,0.0,0.0,49.85217391304347,14.899999999999995,0.009706187843328686,0.0,22.567,0.39705633190667927,0.0,0.0,50.0896551724138,14.899999999999997,0.00964748033166583,0.0,30.0,9.991760002441483,0.0,0.0,50.29,14.930000000000001,4.942,44.981536301767065,10.113,10.000699767843555,99.66329966329967,399.4713804713805,50.02390572390572,15.074410774410776,4.997407407407407,44.997815922831975,300.33,0.0316375214901171,0.0,0.0,49.736666666666665,15.0,1.2147344348907965,0.0259407330545976,30.0,0.0,0.0,0.0,49.9,15.0,0.003047930709799439,0.0,17.564,09_06_2024.fimap,118.89379756097561,117.92898,119.40556,1.4765799999999984,0.6209659504074311,99.37903404959256,0.0,0.0,119.33048,12.498,0.0,119.20934,0.0,12.498,119.40556,-12.498,0.0,119.38492000000001,0.0,-12.498,119.20162,23.091,-9.561,118.8332,23.091,9.561,118.98989999999999,9.561,23.091,119.26432,-9.561,23.091,119.37965999999999,-23.091,9.561,119.26733999999999,-23.091,-9.561,119.12965999999999,-9.561,-23.091,119.18894,9.561,-23.091,118.97811999999999,37.495,0.0,118.49006,32.464,18.748,118.6138,18.748,32.464,118.97909999999999,0.0,37.495,119.21378,-18.748,32.464,119.13510000000001,-32.464,18.748,119.12192,-37.495,0.0,119.12908,-32.464,-18.748,119.09588000000001,-18.748,-32.464,119.03952,0.0,-37.495,118.91164,18.748,-32.464,118.71036,32.464,-18.748,118.50956000000001,49.04,-9.749,117.92898,49.04,9.749,117.98996,41.573,27.778,118.22924,27.778,41.573,118.52288000000001,9.749,49.04,118.89572000000001,-9.749,49.04,119.04012,-27.778,41.573,118.87808,-41.573,27.778,118.95382,-49.04,9.749,118.90768,-49.04,-9.749,118.95942,-41.573,-27.778,118.94666,-27.778,-41.573,118.87114,-9.749,-47.29,118.90658,9.749,-47.29,118.71558,27.778,-41.573,118.32208,41.573,-27.778,118.0649,2024-09-06,2024-07-22,46,False,4
496,etch9/12/2024,2024-09-12 17:11:40.341000+00:00,2024-09-12 17:18:30.301000+00:00,0.0,0.0,0.0,50.24545454545454,14.899999999999995,0.008639130752006214,0.0,21.565,0.38253373084568965,0.0,0.0,50.27931034482759,14.899999999999997,0.009100742186423256,0.0,30.0,9.993702089408137,0.0,0.0,50.190909090909095,14.954545454545455,5.043636363636364,44.98955434652939,11.115,10.00043097084329,100.0,400.0,49.93141891891892,15.06689189189189,4.997533783783783,44.99762450520839,299.635,0.0,0.0,0.0,50.286666666666655,15.0,1.135137684970954,0.0,30.0,0.0,0.0,0.0,50.24117647058824,15.0,0.0030017015586483505,0.0,17.645,09_12_2024.fimap,118.70443560975609,117.79216,119.2106,1.418440000000004,0.5974671429562928,99.40253285704371,0.0,0.0,119.13714,12.498,0.0,118.9973,0.0,12.498,119.18338000000001,-12.498,0.0,119.18294,0.0,-12.498,119.01454000000001,23.091,-9.561,118.57919999999999,23.091,9.561,118.72049999999999,9.561,23.091,119.04042,-9.561,23.091,119.2106,-23.091,9.561,119.05568000000001,-23.091,-9.561,118.95262,-9.561,-23.091,118.95806,9.561,-23.091,118.76256000000001,37.495,0.0,118.3344,32.464,18.748,118.5264,18.748,32.464,118.86344,0.0,37.495,119.08576000000001,-18.748,32.464,119.01624,-32.464,18.748,118.98364,-37.495,0.0,118.98332,-32.464,-18.748,118.89985999999999,-18.748,-32.464,118.76867999999999,0.0,-37.495,118.67054,18.748,-32.464,118.4817,32.464,-18.748,118.26758,49.04,-9.749,117.79216,49.04,9.749,117.86071999999999,41.573,27.778,118.08561999999999,27.778,41.573,118.49286,9.749,49.04,118.77313999999998,-9.749,49.04,118.89428000000001,-27.778,41.573,118.76232,-41.573,27.778,118.74394,-49.04,9.749,118.78068,-49.04,-9.749,118.74161999999998,-41.573,-27.778,118.70183999999999,-27.778,-41.573,118.5921,-9.749,-47.29,118.62922,9.749,-47.29,118.42816,27.778,-41.573,118.06936,41.573,-27.778,117.85734,2024-09-12,2024-07-22,52,False,5
506,etch9/13/2024,2024-09-13 12:55:02.671000+00:00,2024-09-13 13:01:53.641000+00:00,0.0,0.0,0.0,49.949999999999996,14.886363636363633,0.00832821631342001,0.0,21.456,0.12891439347619518,0.0,0.0,50.199999999999996,14.899999999999997,0.008924487502442603,0.0,30.0,9.994811853389084,0.0,0.0,50.3,14.945454545454545,5.076363636363637,44.9903866695151,11.115,10.000647487295655,100.0,400.0,49.96858108108108,15.069256756756756,4.998277027027027,44.99829467517999,299.729,0.0,0.0,0.0,49.873333333333335,15.0,1.1371967122634645,0.0,30.0,0.0,0.0,0.0,50.111111111111114,15.0,0.0030332759292499042,0.0,18.67,09_13_2024.fimap,118.58263853658539,117.70645999999999,119.085,1.378540000000001,0.5812570950572544,99.41874290494275,0.0,0.0,119.00884,12.498,0.0,118.87786000000001,0.0,12.498,119.06718000000001,-12.498,0.0,119.03608,0.0,-12.498,118.91148000000001,23.091,-9.561,118.5273,23.091,9.561,118.64416000000001,9.561,23.091,118.95994,-9.561,23.091,119.085,-23.091,9.561,118.89472,-23.091,-9.561,118.80998,-9.561,-23.091,118.84837999999999,9.561,-23.091,118.6722,37.495,0.0,118.2429,32.464,18.748,118.39502,18.748,32.464,118.70716,0.0,37.495,118.94775999999999,-18.748,32.464,118.82726,-32.464,18.748,118.81844000000001,-37.495,0.0,118.8033,-32.464,-18.748,118.7462,-18.748,-32.464,118.69734000000001,0.0,-37.495,118.58391999999999,18.748,-32.464,118.38912,32.464,-18.748,118.2461,49.04,-9.749,117.70645999999999,49.04,9.749,117.75699999999999,41.573,27.778,117.98322,27.778,41.573,118.31389999999999,9.749,49.04,118.6523,-9.749,49.04,118.73286,-27.778,41.573,118.58525999999999,-41.573,27.778,118.5925,-49.04,9.749,118.57226,-49.04,-9.749,118.58206,-41.573,-27.778,118.53858,-27.778,-41.573,118.48571999999999,-9.749,-47.29,118.52092,9.749,-47.29,118.31136,27.778,-41.573,118.00262000000001,41.573,-27.778,117.80352,2024-09-13,2024-07-22,53,False,6
560,etch9/18/2024,2024-09-18 14:56:07.537000+00:00,2024-09-18 15:03:00.122000+00:00,0.0,0.0,0.0,49.7217391304348,14.899999999999995,0.00926213948304838,0.0,22.588,0.2267840962785307,0.0,0.0,49.81724137931035,14.899999999999997,0.009235167141266055,0.0,30.0,9.989928891872921,0.0,0.0,49.96,14.9,4.9030000000000005,44.980010376293265,10.109,10.000699767843557,99.66329966329967,399.4713804713805,50.05959595959596,15.08013468013468,4.9971717171717165,44.99832970245279,300.313,0.0,0.0,0.0,49.74666666666667,15.0,1.2292680730389323,0.0,30.0,0.0,0.0,0.0,49.72631578947368,15.0,0.00417760507683501,0.0,19.575,09_18_2024.fimap,122.0827668292683,120.93342,122.596,1.6625800000000055,0.6809232962114585,99.31907670378854,0.0,0.0,122.5722,12.498,0.0,122.38928000000001,0.0,12.498,122.55188000000001,-12.498,0.0,122.596,0.0,-12.498,122.42218,23.091,-9.561,121.93742,23.091,9.561,122.06958,9.561,23.091,122.41674,-9.561,23.091,122.59344000000002,-23.091,9.561,122.51972,-23.091,-9.561,122.45596,-9.561,-23.091,122.42684,9.561,-23.091,122.17426,37.495,0.0,121.5799,32.464,18.748,121.75036,18.748,32.464,122.11326,0.0,37.495,122.39082,-18.748,32.464,122.39382,-32.464,18.748,122.4567,-37.495,0.0,122.51666,-32.464,-18.748,122.40292,-18.748,-32.464,122.3638,0.0,-37.495,122.16911999999999,18.748,-32.464,121.8376,32.464,-18.748,121.57864,49.04,-9.749,120.93342,49.04,9.749,120.93714,41.573,27.778,121.19238,27.778,41.573,121.51518000000002,9.749,49.04,121.95534,-9.749,49.04,122.15556,-27.778,41.573,122.08525999999999,-41.573,27.778,122.22403999999999,-49.04,9.749,122.30882,-49.04,-9.749,122.33538000000001,-41.573,-27.778,122.30884,-27.778,-41.573,122.21068,-9.749,-47.29,122.17714000000001,9.749,-47.29,121.88592000000001,27.778,-41.573,121.40111999999999,41.573,-27.778,121.08812,2024-09-18,2024-09-18,0,True,0
570,etch9/20/2024,2024-09-20 15:32:18.153000+00:00,2024-09-20 15:39:09.639000+00:00,0.0,0.0,0.0,49.85454545454545,14.899999999999995,0.008160345922689728,0.0,21.585,0.0,0.0,0.0,50.10000000000001,14.913793103448276,0.007626817180129608,0.0,30.0,9.991482561446247,0.0,0.0,50.22727272727273,15.0,4.878181818181818,44.97623717875805,11.116,9.999137877796297,99.66329966329967,398.6531986531987,50.0097643097643,15.100000000000003,4.998316498316498,44.98889670861476,300.227,0.0,0.0,0.0,49.77,15.0,1.123901469370708,0.0,30.0,0.0,0.0,0.0,49.961111111111116,15.0,0.003672111181684467,0.0,18.558,09_20_2024.fimap,121.3256824390244,120.32388,121.81436000000001,1.4904800000000051,0.614247523705085,99.38575247629491,0.0,0.0,121.7144,12.498,0.0,121.5559,0.0,12.498,121.77044000000001,-12.498,0.0,121.81436000000001,0.0,-12.498,121.63338000000002,23.091,-9.561,121.19136,23.091,9.561,121.31008,9.561,23.091,121.63016,-9.561,23.091,121.80157999999999,-23.091,9.561,121.72966,-23.091,-9.561,121.63804,-9.561,-23.091,121.6217,9.561,-23.091,121.41956,37.495,0.0,120.88132,32.464,18.748,121.03092,18.748,32.464,121.36422,0.0,37.495,121.61248,-18.748,32.464,121.63104000000001,-32.464,18.748,121.64829999999999,-37.495,0.0,121.67375999999999,-32.464,-18.748,121.583,-18.748,-32.464,121.54477999999999,0.0,-37.495,121.39410000000001,18.748,-32.464,121.17106000000001,32.464,-18.748,120.92636,49.04,-9.749,120.3439,49.04,9.749,120.32388,41.573,27.778,120.52156,27.778,41.573,120.82773999999999,9.749,49.04,121.2298,-9.749,49.04,121.44532,-27.778,41.573,121.35247999999999,-41.573,27.778,121.42886000000001,-49.04,9.749,121.45644,-49.04,-9.749,121.4482,-41.573,-27.778,121.45462,-27.778,-41.573,121.40853999999999,-9.749,-47.29,121.37552000000001,9.749,-47.29,121.1741,27.778,-41.573,120.76442,41.573,-27.778,120.50564,2024-09-20,2024-09-18,2,False,1
595,etch9/25/2024,2024-09-25 15:12:13.631000+00:00,2024-09-25 15:19:05.002000+00:00,0.0,0.0,0.0,50.32727272727273,14.899999999999995,0.007495334791157516,0.0,21.57,0.0,0.0,0.0,50.320689655172416,14.899999999999997,0.004828148838252918,0.0,30.0,9.851097417856664,0.0,0.0,50.17272727272728,14.97272727272727,4.6881818181818184,44.972907886815214,11.116,10.000595935759378,100.0,400.26013513513516,49.96249999999999,15.082432432432432,5.000371621621621,44.99784102166075,300.038,0.0,0.0,0.0,50.169999999999995,15.0,1.2259181245016049,0.0,30.0,0.0,0.0,0.0,50.29999999999999,15.0,0.0031726005403404874,0.0,18.647,09_25_2024.fimap,121.81809951219513,120.75726,122.39287999999999,1.6356199999999887,0.6713370207504542,99.32866297924954,0.0,0.0,122.30516,12.498,0.0,122.16648,0.0,12.498,122.34703999999999,-12.498,0.0,122.39287999999999,0.0,-12.498,122.18794,23.091,-9.561,121.78153999999999,23.091,9.561,121.81894,9.561,23.091,122.12454,-9.561,23.091,122.34804,-23.091,9.561,122.31184,-23.091,-9.561,122.10618,-9.561,-23.091,122.12144,9.561,-23.091,121.92367999999999,37.495,0.0,121.31264000000002,32.464,18.748,121.46126,18.748,32.464,121.80716,0.0,37.495,122.0438,-18.748,32.464,122.09512,-32.464,18.748,122.23222000000001,-37.495,0.0,122.15816,-32.464,-18.748,122.0939,-18.748,-32.464,122.03826,0.0,-37.495,121.8477,18.748,-32.464,121.62084,32.464,-18.748,121.44212,49.04,-9.749,120.79892,49.04,9.749,120.75726,41.573,27.778,120.93096,27.778,41.573,121.29990000000001,9.749,49.04,121.66081999999999,-9.749,49.04,121.80492,-27.778,41.573,121.77792,-41.573,27.778,121.9621,-49.04,9.749,122.04236,-49.04,-9.749,121.95262,-41.573,-27.778,121.99494,-27.778,-41.573,121.88132,-9.749,-47.29,121.8915,9.749,-47.29,121.62066,27.778,-41.573,121.14982,41.573,-27.778,120.92717999999999,2024-09-25,2024-09-18,7,False,2
